w	up_1	down_1	cumul_up_1	cumul_down_1	
1.85	0.00404543	0.0480981	0.524488	0.558287
1.8875	0.00390792	0.0463504	0.524635	0.560025
1.925	0.00377906	0.0447461	0.524777	0.561703
1.9625	0.00365522	0.0438756	0.524914	0.563349
2	0.00353458	0.0442002	0.525046	0.565006
2.0375	0.00341815	0.0458706	0.525174	0.566726
2.075	0.00330878	0.0486539	0.525299	0.568551
2.1125	0.00320793	0.0519621	0.525419	0.5705
2.15	0.00311592	0.0553483	0.525536	0.572575
2.1875	0.00303356	0.0589918	0.525649	0.574787
2.225	0.00296157	0.0635137	0.52576	0.577169
2.2625	0.00289941	0.0695289	0.525869	0.579776
2.3	0.00284496	0.0770171	0.525976	0.582665
2.3375	0.00279437	0.0847786	0.526081	0.585844
2.375	0.00274314	0.0910419	0.526184	0.589258
2.4125	0.00268891	0.0948489	0.526284	0.592815
2.45	0.0026334	0.0964958	0.526383	0.596433
2.4875	0.00258013	0.0970171	0.52648	0.600071
2.525	0.00253136	0.0974282	0.526575	0.603725
2.5625	0.00248764	0.0980311	0.526668	0.607401
2.6	0.00244874	0.098328	0.52676	0.611088
2.6375	0.00241446	0.0976944	0.52685	0.614752
2.675	0.00238466	0.0959658	0.52694	0.618351
2.7125	0.00235895	0.0934047	0.527028	0.621853
2.75	0.00233617	0.0903988	0.527116	0.625243
2.7875	0.0023144	0.0872452	0.527203	0.628515
2.825	0.00229173	0.0841159	0.527289	0.631669
2.8625	0.00226776	0.0810947	0.527374	0.63471
2.9	0.00224402	0.0782097	0.527458	0.637643
2.9375	0.00222251	0.0754829	0.527541	0.640474
2.975	0.00220438	0.0729955	0.527624	0.643211
3.0125	0.00218999	0.0709419	0.527706	0.645871
3.05	0.00217936	0.0695889	0.527788	0.648481
3.0875	0.00217227	0.0690185	0.527869	0.651069
3.125	0.00216834	0.0689234	0.527951	0.653654
3.1625	0.00216706	0.0688483	0.528032	0.656236
3.2	0.00216719	0.0685257	0.528113	0.658805
3.2375	0.00216602	0.0678711	0.528194	0.661351
3.275	0.00216078	0.0668907	0.528275	0.663859
3.3125	0.00215207	0.065686	0.528356	0.666322
3.35	0.0021435	0.0644018	0.528436	0.668737
3.3875	0.00213808	0.0631543	0.528517	0.671106
3.425	0.00213633	0.0620137	0.528597	0.673431
3.4625	0.00213637	0.0610185	0.528677	0.675719
3.5	0.00213523	0.0601834	0.528757	0.677976
3.5375	0.00213161	0.0595007	0.528837	0.680207
3.575	0.00212704	0.0589275	0.528917	0.682417
3.6125	0.00212377	0.058394	0.528996	0.684607
3.65	0.00212301	0.0578462	0.529076	0.686776
3.6875	0.00212507	0.0572436	0.529156	0.688923
3.725	0.00213005	0.0565538	0.529235	0.691044
3.7625	0.00213804	0.0558005	0.529316	0.693136
3.8	0.00214905	0.055051	0.529396	0.695201
3.8375	0.00216285	0.0543594	0.529477	0.697239
3.875	0.00217867	0.0537277	0.529559	0.699254
3.9125	0.00219493	0.0531163	0.529641	0.701246
3.95	0.0022098	0.0525079	0.529724	0.703215
3.9875	0.00222266	0.0519567	0.529808	0.705163
4.025	0.0022349	0.0515711	0.529891	0.707097
4.0625	0.0022486	0.0514413	0.529976	0.709026
4.1	0.00226506	0.0515717	0.530061	0.71096
4.1375	0.00228476	0.0518752	0.530146	0.712905
4.175	0.00230775	0.052222	0.530233	0.714864
4.2125	0.00233378	0.0524288	0.53032	0.71683
4.25	0.00236207	0.0522122	0.530409	0.718788
4.2875	0.00239131	0.0513745	0.530499	0.720714
4.325	0.0024205	0.0500628	0.530589	0.722592
4.3625	0.00245019	0.0486322	0.530681	0.724415
4.4	0.0024821	0.0473494	0.530774	0.726191
4.4375	0.00251754	0.0463269	0.530869	0.727928
4.475	0.00255653	0.045594	0.530965	0.729638
4.5125	0.00259744	0.0451736	0.531062	0.731332
4.55	0.0026376	0.0451049	0.531161	0.733023
4.5875	0.00267569	0.0454601	0.531261	0.734728
4.625	0.00271333	0.0462924	0.531363	0.736464
4.6625	0.00275313	0.0474665	0.531466	0.738244
4.7	0.00279666	0.0485474	0.531571	0.740065
4.7375	0.00284446	0.0490476	0.531678	0.741904
4.775	0.0028967	0.0488321	0.531786	0.743735
4.8125	0.00295341	0.0481944	0.531897	0.745542
4.85	0.00301439	0.0475668	0.53201	0.747326
4.8875	0.00307913	0.0472679	0.532126	0.749099
4.925	0.00314699	0.0474959	0.532244	0.75088
4.9625	0.00321757	0.0484367	0.532364	0.752696
5	0.00329105	0.0503185	0.532488	0.754583
5.0375	0.00336823	0.0532397	0.532614	0.75658
5.075	0.00345021	0.0567693	0.532743	0.758708
5.1125	0.00353788	0.0599683	0.532876	0.760957
5.15	0.0036318	0.0623485	0.533012	0.763295
5.1875	0.00373238	0.0645822	0.533152	0.765717
5.225	0.00384005	0.0678724	0.533296	0.768262
5.2625	0.00395522	0.0729488	0.533445	0.770998
5.3	0.00407829	0.0794769	0.533598	0.773978
5.3375	0.00420965	0.0858694	0.533755	0.777198
5.375	0.00434968	0.0899991	0.533918	0.780573
5.4125	0.00449877	0.0906863	0.534087	0.783974
5.45	0.00465775	0.0884241	0.534262	0.78729
5.4875	0.00482809	0.0846981	0.534443	0.790466
5.525	0.00501156	0.0809606	0.534631	0.793502
5.5625	0.00520987	0.0782097	0.534826	0.796435
5.6	0.00542471	0.0770478	0.53503	0.799324
5.6375	0.00565796	0.0777481	0.535242	0.80224
5.675	0.00591179	0.080102	0.535464	0.805244
5.7125	0.00618876	0.0832349	0.535696	0.808365
5.75	0.00649186	0.0859821	0.535939	0.811589
5.7875	0.0068245	0.0878323	0.536195	0.814883
5.825	0.00719029	0.0892596	0.536465	0.81823
5.8625	0.007593	0.0909649	0.536749	0.821642
5.9	0.00803714	0.0928278	0.537051	0.825123
5.9375	0.00852921	0.0936964	0.537371	0.828636
5.975	0.00907787	0.0924146	0.537711	0.832102
6.0125	0.00969317	0.088914	0.538074	0.835436
6.05	0.0103875	0.0839577	0.538464	0.838584
6.0875	0.0111774	0.0782424	0.538883	0.841519
6.125	0.012084	0.0722285	0.539336	0.844227
6.1625	0.0131336	0.0663231	0.539829	0.846714
6.2	0.0143591	0.0606416	0.540367	0.848988
6.2375	0.0158039	0.0547344	0.54096	0.851041
6.275	0.0175265	0.0482064	0.541617	0.852849
6.3125	0.0196069	0.0414829	0.542352	0.854404
6.35	0.0221548	0.0353422	0.543183	0.855729
6.3875	0.0253228	0.0302081	0.544133	0.856862
6.425	0.0293248	0.0261651	0.545233	0.857843
6.4625	0.0344602	0.023159	0.546525	0.858712
6.5	0.0411393	0.0210613	0.548067	0.859502
6.5375	0.049885	0.0196716	0.549938	0.860239
6.575	0.0612344	0.0186853	0.552234	0.86094
6.6125	0.0753743	0.017724	0.555061	0.861605
6.65	0.0913352	0.0165554	0.558486	0.862226
6.6875	0.106173	0.0152741	0.562468	0.862798
6.725	0.115831	0.0141406	0.566811	0.863329
6.7625	0.118262	0.0133276	0.571246	0.863828
6.8	0.114986	0.0128399	0.575558	0.86431
6.8375	0.109005	0.0125342	0.579646	0.86478
6.875	0.102608	0.0121866	0.583494	0.865237
6.9125	0.0969819	0.0116064	0.58713	0.865672
6.95	0.0926246	0.0107447	0.590604	0.866075
6.9875	0.0897429	0.00973106	0.593969	0.86644
7.025	0.0884716	0.00876305	0.597287	0.866769
7.0625	0.0889767	0.00796676	0.600623	0.867067
7.1	0.0914766	0.00737822	0.604054	0.867344
7.1375	0.0961677	0.00698769	0.60766	0.867606
7.175	0.103018	0.00676716	0.611523	0.86786
7.2125	0.111539	0.00666937	0.615706	0.86811
7.25	0.120881	0.006617	0.620239	0.868358
7.2875	0.130317	0.00650256	0.625126	0.868602
7.325	0.139521	0.00622612	0.630358	0.868835
7.3625	0.148431	0.00577941	0.635924	0.869052
7.4	0.156963	0.00525874	0.64181	0.869249
7.4375	0.164779	0.00476652	0.647989	0.869428
7.475	0.171197	0.00434951	0.654409	0.869591
7.5125	0.175367	0.00401181	0.660986	0.869742
7.55	0.176624	0.00374184	0.667609	0.869882
7.5875	0.174825	0.00352646	0.674165	0.870014
7.625	0.170772	0.00335556	0.680569	0.87014
7.6625	0.166297	0.00322264	0.686805	0.870261
7.7	0.163506	0.00312418	0.692936	0.870378
7.7375	0.163708	0.00305808	0.699075	0.870493
7.775	0.166815	0.00302009	0.705331	0.870606
7.8125	0.171458	0.0029975	0.711761	0.870718
7.85	0.175872	0.00296592	0.718356	0.87083
7.8875	0.179049	0.00290412	0.72507	0.870939
7.925	0.180658	0.00281826	0.731845	0.871044
7.9625	0.180206	0.00273541	0.738603	0.871147
8	0.177229	0.0026753	0.745249	0.871247
8.0375	0.171888	0.00263648	0.751695	0.871346
8.075	0.16482	0.00259769	0.757875	0.871443
8.1125	0.156671	0.00253493	0.76375	0.871538
8.15	0.147945	0.00244686	0.769298	0.87163
8.1875	0.138797	0.0023515	0.774503	0.871718
8.225	0.128596	0.00225971	0.779326	0.871803
8.2625	0.116316	0.00216852	0.783687	0.871884
8.3	0.102002	0.0020754	0.787513	0.871962
8.3375	0.0872795	0.00198559	0.790786	0.872037
8.375	0.0741243	0.00190438	0.793565	0.872108
8.4125	0.0636218	0.00183237	0.795951	0.872177
8.45	0.0559103	0.00176916	0.798048	0.872243
8.4875	0.0506888	0.00171588	0.799948	0.872308
8.525	0.0475369	0.00167372	0.801731	0.87237
8.5625	0.0459228	0.00164252	0.803453	0.872432
8.6	0.0450839	0.0016209	0.805144	0.872493
8.6375	0.0441678	0.00160732	0.8068	0.872553
8.675	0.0427556	0.00160255	0.808404	0.872613
8.7125	0.0410244	0.00161073	0.809942	0.872674
8.75	0.0393693	0.00163686	0.811418	0.872735
8.7875	0.0381639	0.00168249	0.812849	0.872798
8.825	0.0376009	0.00173928	0.814259	0.872863
8.8625	0.037589	0.00178158	0.815669	0.87293
8.9	0.0378345	0.00177409	0.817088	0.872997
8.9375	0.0379761	0.00170477	0.818512	0.87306
8.975	0.0377889	0.0015994	0.819929	0.87312
9.0125	0.0374576	0.00149177	0.821334	0.873176
9.05	0.0375501	0.00139962	0.822742	0.873229
9.0875	0.0385608	0.00132652	0.824188	0.873279
9.125	0.0405074	0.00126994	0.825707	0.873326
9.1625	0.0428802	0.00122541	0.827315	0.873372
9.2	0.0449509	0.0011877	0.829001	0.873417
