w	up_1	down_1	cumul_up_1	cumul_down_1	
-0.1	0.0183303	0.0115323	0.485623	0.497062
-0.0625	0.0165138	0.0123857	0.486242	0.497526
-0.025	0.0150128	0.0133868	0.486805	0.498028
0.0125	0.013759	0.0145702	0.487321	0.498575
0.05	0.0127015	0.0159822	0.487798	0.499174
0.0875	0.0118022	0.0176846	0.48824	0.499837
0.125	0.0110319	0.0197615	0.488654	0.500578
0.1625	0.0103683	0.0223287	0.489043	0.501415
0.2	0.00979367	0.0255473	0.48941	0.502373
0.2375	0.00929432	0.0296406	0.489759	0.503485
0.275	0.00885919	0.0349114	0.490091	0.504794
0.3125	0.00847947	0.0417423	0.490409	0.50636
0.35	0.00814803	0.0505295	0.490714	0.508254
0.3875	0.00785911	0.0614611	0.491009	0.510559
0.425	0.00760798	0.0741221	0.491294	0.513339
0.4625	0.00739075	0.0872745	0.491571	0.516612
0.5	0.00720429	0.0992907	0.491842	0.520335
0.5375	0.00704616	0.108848	0.492106	0.524417
0.575	0.00691453	0.115196	0.492365	0.528737
0.6125	0.00680809	0.11834	0.49262	0.533174
0.65	0.00672605	0.119331	0.492873	0.537649
0.6875	0.00666804	0.119945	0.493123	0.542147
0.725	0.00663414	0.121711	0.493371	0.546711
0.7625	0.0066249	0.124922	0.49362	0.551396
0.8	0.00664132	0.128205	0.493869	0.556204
0.8375	0.00668508	0.129455	0.49412	0.561058
0.875	0.00675873	0.1277	0.494373	0.565847
0.9125	0.00686596	0.123597	0.494631	0.570482
0.95	0.00701188	0.118373	0.494894	0.574921
0.9875	0.00720341	0.112995	0.495164	0.579158
1.025	0.00744999	0.108031	0.495443	0.583209
1.0625	0.00776454	0.103737	0.495734	0.587099
1.1	0.00816485	0.100061	0.49604	0.590852
1.1375	0.00867537	0.0965266	0.496366	0.594471
1.175	0.00932982	0.0922489	0.496716	0.597931
1.2125	0.0101743	0.0864031	0.497097	0.601171
1.25	0.011268	0.0787889	0.49752	0.604126
1.2875	0.012671	0.0700317	0.497995	0.606752
1.325	0.0143976	0.0613585	0.498535	0.609053
1.3625	0.0163157	0.0539771	0.499147	0.611077
1.4	0.0180535	0.0485649	0.499824	0.612898
1.4375	0.0191491	0.0452712	0.500542	0.614596
1.475	0.0194993	0.0439858	0.501273	0.616245
1.5125	0.0195409	0.0444909	0.502006	0.617914
1.55	0.0198724	0.046417	0.502751	0.619654
1.5875	0.0209122	0.0491739	0.503535	0.621498
1.625	0.0228948	0.0520123	0.504394	0.623449
1.6625	0.0259502	0.0541461	0.505367	0.625479
1.7	0.030044	0.054886	0.506493	0.627537
1.7375	0.0347308	0.0538494	0.507796	0.629557
1.775	0.0389284	0.0511207	0.509256	0.631474
1.8125	0.0412463	0.0472311	0.510802	0.633245
1.85	0.0409986	0.0428708	0.51234	0.634853
1.8875	0.0388948	0.0386016	0.513798	0.6363
1.925	0.0364686	0.0348799	0.515166	0.637608
1.9625	0.0350026	0.0320238	0.516479	0.638809
2	0.0351533	0.0301279	0.517797	0.639939
2.0375	0.0371883	0.0291374	0.519191	0.641031
2.075	0.041215	0.0289669	0.520737	0.642118
2.1125	0.0471372	0.0295665	0.522505	0.643226
2.15	0.0543825	0.0309467	0.524544	0.644387
2.1875	0.0617093	0.0331888	0.526858	0.645632
2.225	0.0674758	0.0364563	0.529388	0.646999
2.2625	0.0702843	0.041008	0.532024	0.648536
2.3	0.0695132	0.0472028	0.534631	0.650307
2.3375	0.0654956	0.0554491	0.537087	0.652386
2.375	0.0593825	0.0659925	0.539314	0.654861
2.4125	0.0526842	0.0784023	0.541289	0.657801
2.45	0.0467317	0.0909639	0.543042	0.661212
2.4875	0.0423712	0.101074	0.544631	0.665002
2.525	0.0399268	0.107255	0.546128	0.669024
2.5625	0.0393149	0.110479	0.547602	0.673167
2.6	0.0401737	0.113019	0.549109	0.677405
2.6375	0.0420027	0.116864	0.550684	0.681788
2.675	0.0443412	0.123139	0.552347	0.686405
2.7125	0.0468478	0.13179	0.554104	0.691348
2.75	0.0492166	0.141116	0.555949	0.696639
2.7875	0.0510286	0.148187	0.557863	0.702196
2.825	0.0516341	0.150936	0.559799	0.707857
2.8625	0.0502849	0.14958	0.561685	0.713466
2.9	0.0467055	0.145641	0.563436	0.718927
2.9375	0.0415617	0.140561	0.564995	0.724198
2.975	0.0360815	0.135232	0.566348	0.72927
3.0125	0.0312581	0.130092	0.56752	0.734148
3.05	0.0275057	0.125315	0.568551	0.738847
3.0875	0.0248229	0.120947	0.569482	0.743383
3.125	0.0230561	0.116982	0.570347	0.74777
3.1625	0.0220504	0.113407	0.571174	0.752022
3.2	0.0217008	0.110222	0.571988	0.756156
3.2375	0.0219596	0.107442	0.572811	0.760185
3.275	0.0228241	0.105113	0.573667	0.764127
3.3125	0.0243006	0.103228	0.574578	0.767998
3.35	0.0263151	0.101624	0.575565	0.771809
3.3875	0.028568	0.0999966	0.576636	0.775558
3.425	0.0304939	0.0981483	0.57778	0.779239
3.4625	0.0316094	0.0961094	0.578965	0.782843
3.5	0.0320173	0.0940061	0.580166	0.786368
3.5375	0.0323555	0.0919114	0.581379	0.789815
3.575	0.0332962	0.0898842	0.582628	0.793186
